,ID,name,year,samplename,period
1,GeoPT48,Monzonite,2021,MzBP-1,late
2,GeoPT46,Granodiorite,2020,HG-1,late
3,GeoPT43,Dolerite,2018,ADS-1,late
4,GeoPT41,Andesite,2017,ORA-1,late
5,GeoPT39,Syenite,2016,SyMP-1,late
6,GeoPT39A,Nepheline Syenite,2016,MNS-1,late
7,GeoPT38,Ardnamurchan gabbro,2016,OU-7,late
8,GeoPT38A,Modified harzburgite,2016,HARZ01,late
9,GeoPT37,Rhyolite,2015,ORPT-1,late
10,GeoPT36,Gabbro,2015,GSM-1,late
11,GeoPT35,Tonalite,2014,TLM-1,late
12,GeoPT34,Granite,2014,GRI-1,late
13,GeoPT32,Woodstock basalt,2013,WG-1,late
14,GeoPT29,Nephelinite,2011,NKT-1,early
15,GeoPT25,High titanium basalt,2009,HTB-1,early
16,GeoPT23,Separation Lake pegmatite,2008,OU-9,early
17,GeoPT22,Basalt,2008,MBL-1,early
18,GeoPT21,Granite,2007,MGT-1,early
19,GeoPT20,Ultramafic rock,2007,OPY-1,early
20,GeoPT19,Gabbro,2006,MGR-N,early
21,GeoPT16,Nevada basalt,2005,BNV-1,early
22,GeoPT14,Alkaline granite,2004,OShBO,early
23,GeoPT8,Penmaenmawr microdiorite,2001,OU-4,early
24,GeoPT6,Nanhoron microgranite,2000,OU-3,early
25,GeoPT5,Mount Hood andesite,2000,AMH-1,early
26,GeoPT4,Belford dolerite,2000,OU-2,early
27,GeoPT3,Yewangara granite,1999,YG-1,early
28,GeoPT2,Bardon volcanic tuff,1998,OU-1,early
29,GeoPT1,Threlkeld microgranite,1996,G94,early
